arquivo,grupo,score,selecionado
1091437351191821_id##_00001_ (1).flac,1,inf,True
1091437351191821_id##_00002_ (1).flac,1,inf,False
1091437351191821_id##_00003_ (1).flac,1,inf,False
1091437351191821_id##_00004_ (1).flac,1,inf,False
181833200846036_id##_00001_ (1).flac,2,0.05196869373321533,False
181833200846036_id##_00002_ (1).flac,2,0.06721252202987671,True
181833200846036_id##_00003_ (1).flac,2,0.042063355445861816,False
181833200846036_id##_00004_ (1).flac,2,0.05695521831512451,False
250577641631461_id##_00001_ (1).flac,3,0.21675866842269897,True
250577641631461_id##_00002_ (1).flac,3,0.17035293579101562,False
250577641631461_id##_00003_ (1).flac,3,0.051728785037994385,False
250577641631461_id##_00004_ (1).flac,3,0.05104935169219971,False
263284464269937_id##_00001_ (1).flac,4,0.026643574237823486,False
263284464269937_id##_00002_ (1).flac,4,0.02490907907485962,False
263284464269937_id##_00003_ (1).flac,4,0.034303128719329834,False
263284464269937_id##_00004_ (1).flac,4,0.04710233211517334,True
329783369750804_id##_00001_ (1).flac,5,0.03526538610458374,False
329783369750804_id##_00002_ (1).flac,5,0.1246454119682312,True
329783369750804_id##_00003_ (1).flac,5,0.025475919246673584,False
329783369750804_id##_00004_ (1).flac,5,0.030968546867370605,False
394017291950098_id##_00001_ (1).flac,6,0.07440018653869629,False
394017291950098_id##_00002_ (1).flac,6,0.10262137651443481,True
394017291950098_id##_00003_ (1).flac,6,0.06049454212188721,False
394017291950098_id##_00004_ (1).flac,6,0.048734307289123535,False
